meet_athletic_net_id,race_name,athlete_full_name,school_name,graduation_year,time_cs,place_overall,season_year
237402,"2.13 Miles Freshman Boys","Johann Coss","Evergreen Valley",2028,69390,1,2024
237402,"2.13 Miles Freshman Boys","Aditya Garg","Leland",2028,69460,2,2024
237402,"2.13 Miles Freshman Boys","Patrick Jahutka","Mills",2028,69900,3,2024
237402,"2.13 Miles Freshman Boys","Anthony Hsiao","San Mateo",2028,70060,4,2024
237402,"2.13 Miles Freshman Boys","Colin Wang","Cupertino",2028,72790,5,2024
237402,"2.13 Miles Freshman Boys","Alex Yoshino","Aragon",2028,73780,6,2024
237402,"2.13 Miles Freshman Boys","Daniel Patellaro","Leland",2028,73950,7,2024
237402,"2.13 Miles Freshman Boys","Benjamin Joseph","Evergreen Valley",2028,74890,8,2024
237402,"2.13 Miles Freshman Boys","Miles Bullock-Humphrey","Encinal",2028,76090,9,2024
237402,"2.13 Miles Freshman Boys","Elias Hybl","Aragon",2028,76390,10,2024
237402,"2.13 Miles Freshman Boys","James Ross","San Mateo",2028,76420,11,2024
237402,"2.13 Miles Freshman Boys","Sam Kenton","Encinal",2028,76770,12,2024
237402,"2.13 Miles Freshman Boys","Henry Giardi","Sequoia",2028,77140,13,2024
237402,"2.13 Miles Freshman Boys","Patrick Guzman","Leland",2028,77210,14,2024
237402,"2.13 Miles Freshman Boys","Atharva Khare","Evergreen Valley",2028,77390,15,2024
237402,"2.13 Miles Freshman Boys","Jacob Martinez","Evergreen Valley",2028,77460,16,2024
237402,"2.13 Miles Freshman Boys","Raul Escobar","Mt Pleasant",2028,77650,17,2024
237402,"2.13 Miles Freshman Boys","Dhruv Goel","Evergreen Valley",2028,77700,18,2024
237402,"2.13 Miles Freshman Boys","Graham Sargeant","Carlmont",2028,77790,19,2024
237402,"2.13 Miles Freshman Boys","Pablo Scanziani Grijalvo","Terra Nova",2028,78070,20,2024
237402,"2.13 Miles Freshman Boys","Raza Chaudhary","Leigh",2028,78140,21,2024
237402,"2.13 Miles Freshman Boys","Ahmari Brown","Evergreen Valley",2028,78210,22,2024
237402,"2.13 Miles Freshman Boys","Santiago Arroyo","Independence",2028,78900,23,2024
237402,"2.13 Miles Freshman Boys","Darwin McCabe","Leigh",2028,79410,24,2024
237402,"2.13 Miles Freshman Boys","Alejandro Lujan","Leland",2028,79590,25,2024
237402,"2.13 Miles Freshman Boys","Neil Radar","Monte Vista Christian",2028,79760,26,2024
237402,"2.13 Miles Freshman Boys","Gustavo Sandoval","Watsonville",2028,80430,27,2024
237402,"2.13 Miles Freshman Boys","Aidan Hanson","Hillsdale",2028,80500,28,2024
237402,"2.13 Miles Freshman Boys","Tony Yang","Westmont",2028,80810,29,2024
237402,"2.13 Miles Freshman Boys","Julian Giron","Independence",2028,81510,30,2024
237402,"2.13 Miles Freshman Boys","Owen Widgery","Leland",2028,81840,31,2024
237402,"2.13 Miles Freshman Boys","Samuel Choslovsky","Aragon",2028,81970,32,2024
237402,"2.13 Miles Freshman Boys","Mark Olmos","Christopher",2028,82060,33,2024
237402,"2.13 Miles Freshman Boys","Adrian Penados Gutierrez","Encinal",2028,82060,34,2024
237402,"2.13 Miles Freshman Boys","Nabil Raja","Evergreen Valley",2028,82470,35,2024
237402,"2.13 Miles Freshman Boys","Rayden Khor","Leland",2028,82580,36,2024
237402,"2.13 Miles Freshman Boys","Gordon Tan","Bay School of San Francisco",2028,82730,37,2024
237402,"2.13 Miles Freshman Boys","Cristos Rapinan","Evergreen Valley",2028,82780,38,2024
237402,"2.13 Miles Freshman Boys","Kingsley Lee","Aragon",2028,82850,39,2024
237402,"2.13 Miles Freshman Boys","Eddie Fu","Leland",2028,82880,40,2024
237402,"2.13 Miles Freshman Boys","Sahaj Khandelwal","Leigh",2028,83040,41,2024
237402,"2.13 Miles Freshman Boys","Nicholas Tague","Hillsdale",2028,83290,42,2024
237402,"2.13 Miles Freshman Boys","Anson Wong","Independence",2028,83360,43,2024
237402,"2.13 Miles Freshman Boys","Apollo Lee","San Mateo",2028,83780,44,2024
237402,"2.13 Miles Freshman Boys","Dean Gonzalez","Leland",2028,83920,45,2024
237402,"2.13 Miles Freshman Boys","Jeonghan Moon","Leland",2028,83980,46,2024
237402,"2.13 Miles Freshman Boys","Ethan Yau","Carlmont",2028,84120,47,2024
237402,"2.13 Miles Freshman Boys","Parsa Faramarzi","Leigh",2028,84130,48,2024
237402,"2.13 Miles Freshman Boys","Gabriel Rueda","Leland",2028,84170,49,2024
237402,"2.13 Miles Freshman Boys","Samuel Rahardja","Evergreen Valley",2028,84250,50,2024
237402,"2.13 Miles Freshman Boys","Ethan Zalabak","Carlmont",2028,84450,51,2024
237402,"2.13 Miles Freshman Boys","Luke White","Monte Vista Christian",2028,84510,52,2024
237402,"2.13 Miles Freshman Boys","Yicheng Xie","Leland",2028,84560,53,2024
237402,"2.13 Miles Freshman Boys","Kaiden Wong","Terra Nova",2028,84870,54,2024
237402,"2.13 Miles Freshman Boys","Anthony Phung","Evergreen Valley",2028,85050,55,2024
